Municipios;Sexo;Periodo;Total
25075 Clariana de Cardener;Total;2015;140
25076 Cogul, El;Total;2022;151
25076 Cogul, El;Total;2021;143
25076 Cogul, El;Total;2020;151
25076 Cogul, El;Total;2019;158
25076 Cogul, El;Total;2018;161
25076 Cogul, El;Total;2017;162
25076 Cogul, El;Total;2016;174
25076 Cogul, El;Total;2015;181
25077 Coll de Nargó;Total;2022;548
25077 Coll de Nargó;Total;2021;548
25077 Coll de Nargó;Total;2020;540
25077 Coll de Nargó;Total;2019;550
25077 Coll de Nargó;Total;2018;549
25077 Coll de Nargó;Total;2017;558
25077 Coll de Nargó;Total;2016;574
25077 Coll de Nargó;Total;2015;575
25163 Coma i la Pedra, La;Total;2022;278
25163 Coma i la Pedra, La;Total;2021;277
25163 Coma i la Pedra, La;Total;2020;255
25163 Coma i la Pedra, La;Total;2019;265
25163 Coma i la Pedra, La;Total;2018;265
25163 Coma i la Pedra, La;Total;2017;259
25163 Coma i la Pedra, La;Total;2016;261
25163 Coma i la Pedra, La;Total;2015;270
25161 Conca de Dalt;Total;2022;427
25161 Conca de Dalt;Total;2021;421
25161 Conca de Dalt;Total;2020;410
25161 Conca de Dalt;Total;2019;418
25161 Conca de Dalt;Total;2018;428
25161 Conca de Dalt;Total;2017;445
25161 Conca de Dalt;Total;2016;439
25161 Conca de Dalt;Total;2015;446
25078 Corbins;Total;2022;1.462
25078 Corbins;Total;2021;1.499
25078 Corbins;Total;2020;1.462
25078 Corbins;Total;2019;1.444
25078 Corbins;Total;2018;1.431
25078 Corbins;Total;2017;1.411
25078 Corbins;Total;2016;1.401
25078 Corbins;Total;2015;1.394
25079 Cubells;Total;2022;356
25079 Cubells;Total;2021;357
25079 Cubells;Total;2020;338
25079 Cubells;Total;2019;343
25079 Cubells;Total;2018;358
25079 Cubells;Total;2017;373
25079 Cubells;Total;2016;373
25079 Cubells;Total;2015;378
25081 Espluga Calba, L';Total;2022;331
25081 Espluga Calba, L';Total;2021;328
25081 Espluga Calba, L';Total;2020;329
25081 Espluga Calba, L';Total;2019;341
25081 Espluga Calba, L';Total;2018;357
25081 Espluga Calba, L';Total;2017;363
25081 Espluga Calba, L';Total;2016;375
25081 Espluga Calba, L';Total;2015;387
25082 Espot;Total;2022;377
25082 Espot;Total;2021;366
25082 Espot;Total;2020;366
25082 Espot;Total;2019;364
25082 Espot;Total;2018;352
25082 Espot;Total;2017;365
25082 Espot;Total;2016;361
25082 Espot;Total;2015;362
25088 Estamariu;Total;2022;128
25088 Estamariu;Total;2021;129
25088 Estamariu;Total;2020;125
25088 Estamariu;Total;2019;118
25088 Estamariu;Total;2018;119
25088 Estamariu;Total;2017;124
25088 Estamariu;Total;2016;119
25088 Estamariu;Total;2015;124
25085 Estaràs;Total;2022;169
25085 Estaràs;Total;2021;172
25085 Estaràs;Total;2020;156
25085 Estaràs;Total;2019;162
25085 Estaràs;Total;2018;160
25085 Estaràs;Total;2017;158
25085 Estaràs;Total;2016;163
25085 Estaràs;Total;2015;176
25086 Esterri d'Àneu;Total;2022;841
25086 Esterri d'Àneu;Total;2021;832
25086 Esterri d'Àneu;Total;2020;804
25086 Esterri d'Àneu;Total;2019;772
25086 Esterri d'Àneu;Total;2018;756
25086 Esterri d'Àneu;Total;2017;769
25086 Esterri d'Àneu;Total;2016;789
25086 Esterri d'Àneu;Total;2015;804
25087 Esterri de Cardós;Total;2022;62
25087 Esterri de Cardós;Total;2021;64
25087 Esterri de Cardós;Total;2020;64
25087 Esterri de Cardós;Total;2019;70
25087 Esterri de Cardós;Total;2018;69
25087 Esterri de Cardós;Total;2017;67
25087 Esterri de Cardós;Total;2016;69
25087 Esterri de Cardós;Total;2015;73
25089 Farrera;Total;2022;121
25089 Farrera;Total;2021;116
25089 Farrera;Total;2020;108
25089 Farrera;Total;2019;116
25089 Farrera;Total;2018;122
25089 Farrera;Total;2017;121
25089 Farrera;Total;2016;126
25089 Farrera;Total;2015;118
25908 Fígols i Alinyà;Total;2022;266
25908 Fígols i Alinyà;Total;2021;260
25908 Fígols i Alinyà;Total;2020;244
25908 Fígols i Alinyà;Total;2019;252
25908 Fígols i Alinyà;Total;2018;253
25908 Fígols i Alinyà;Total;2017;245
25908 Fígols i Alinyà;Total;2016;254
25908 Fígols i Alinyà;Total;2015;261
25092 Floresta, La;Total;2022;154
25092 Floresta, La;Total;2021;145
25092 Floresta, La;Total;2020;140
25092 Floresta, La;Total;2019;147
25092 Floresta, La;Total;2018;154
25092 Floresta, La;Total;2017;155
25092 Floresta, La;Total;2016;155
25092 Floresta, La;Total;2015;160
25093 Fondarella;Total;2022;778
