Municipios;Sexo;Periodo;Total
43084 Miravet;Total;2020;706
43084 Miravet;Total;2019;691
43084 Miravet;Total;2018;706
43084 Miravet;Total;2017;726
43084 Miravet;Total;2016;737
43084 Miravet;Total;2015;747
43085 Molar, El;Total;2022;296
43085 Molar, El;Total;2021;298
43085 Molar, El;Total;2020;291
43085 Molar, El;Total;2019;297
43085 Molar, El;Total;2018;281
43085 Molar, El;Total;2017;286
43085 Molar, El;Total;2016;282
43085 Molar, El;Total;2015;291
43086 Montblanc;Total;2022;7.410
43086 Montblanc;Total;2021;7.433
43086 Montblanc;Total;2020;7.379
43086 Montblanc;Total;2019;7.364
43086 Montblanc;Total;2018;7.384
43086 Montblanc;Total;2017;7.307
43086 Montblanc;Total;2016;7.290
43086 Montblanc;Total;2015;7.283
43088 Montbrió del Camp;Total;2022;3.073
43088 Montbrió del Camp;Total;2021;2.985
43088 Montbrió del Camp;Total;2020;2.909
43088 Montbrió del Camp;Total;2019;2.890
43088 Montbrió del Camp;Total;2018;2.828
43088 Montbrió del Camp;Total;2017;2.806
43088 Montbrió del Camp;Total;2016;2.779
43088 Montbrió del Camp;Total;2015;2.693
43089 Montferri;Total;2022;419
43089 Montferri;Total;2021;397
43089 Montferri;Total;2020;403
43089 Montferri;Total;2019;387
43089 Montferri;Total;2018;383
43089 Montferri;Total;2017;388
43089 Montferri;Total;2016;400
43089 Montferri;Total;2015;378
43090 Montmell, El;Total;2022;1.863
43090 Montmell, El;Total;2021;1.730
43090 Montmell, El;Total;2020;1.582
43090 Montmell, El;Total;2019;1.512
43090 Montmell, El;Total;2018;1.437
