Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
43070 Guiamets, Els;;;Renta neta media por hogar;2018;32.986
43070 Guiamets, Els;;;Renta neta media por hogar;2017;33.624
43070 Guiamets, Els;;;Renta neta media por hogar;2016;32.196
43070 Guiamets, Els;;;Renta neta media por hogar;2015;30.964
43071 Horta de Sant Joan;;;Renta neta media por hogar;2020;26.708
43071 Horta de Sant Joan;;;Renta neta media por hogar;2019;26.506
43071 Horta de Sant Joan;;;Renta neta media por hogar;2018;25.869
43071 Horta de Sant Joan;;;Renta neta media por hogar;2017;24.512
43071 Horta de Sant Joan;;;Renta neta media por hogar;2016;24.172
43071 Horta de Sant Joan;;;Renta neta media por hogar;2015;22.446
43072 Lloar, El;;;Renta neta media por hogar;2020;25.273
43072 Lloar, El;;;Renta neta media por hogar;2019;25.850
43072 Lloar, El;;;Renta neta media por hogar;2018;25.389
43072 Lloar, El;;;Renta neta media por hogar;2017;26.437
43072 Lloar, El;;;Renta neta media por hogar;2016;29.369
43072 Lloar, El;;;Renta neta media por hogar;2015;26.715
43073 Llorac;;;Renta neta media por hogar;2020;32.591
43073 Llorac;;;Renta neta media por hogar;2019;.
43073 Llorac;;;Renta neta media por hogar;2018;.
43073 Llorac;;;Renta neta media por hogar;2017;32.059
43073 Llorac;;;Renta neta media por hogar;2016;.
43073 Llorac;;;Renta neta media por hogar;2015;.
43074 Llorenç del Penedès;;;Renta neta media por hogar;2020;35.087
43074 Llorenç del Penedès;;;Renta neta media por hogar;2019;36.049
43074 Llorenç del Penedès;;;Renta neta media por hogar;2018;33.525
43074 Llorenç del Penedès;;;Renta neta media por hogar;2017;32.210
43074 Llorenç del Penedès;;;Renta neta media por hogar;2016;31.047
43074 Llorenç del Penedès;;;Renta neta media por hogar;2015;30.542
43075 Margalef;;;Renta neta media por hogar;2020;22.648
43075 Margalef;;;Renta neta media por hogar;2019;23.491
43075 Margalef;;;Renta neta media por hogar;2018;.
43075 Margalef;;;Renta neta media por hogar;2017;.
43075 Margalef;;;Renta neta media por hogar;2016;.
43075 Margalef;;;Renta neta media por hogar;2015;.
43076 Marçà;;;Renta neta media por hogar;2020;30.272
43076 Marçà;;;Renta neta media por hogar;2019;28.788
43076 Marçà;;;Renta neta media por hogar;2018;27.446
43076 Marçà;;;Renta neta media por hogar;2017;27.164
43076 Marçà;;;Renta neta media por hogar;2016;26.516
