Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
25057 Bòrdes, Es;;;Renta neta media por hogar;2016;32.844
25057 Bòrdes, Es;;;Renta neta media por hogar;2015;33.337
25058 Borges Blanques, Les;;;Renta neta media por hogar;2020;31.549
25058 Borges Blanques, Les;;;Renta neta media por hogar;2019;30.894
25058 Borges Blanques, Les;;;Renta neta media por hogar;2018;29.326
25058 Borges Blanques, Les;;;Renta neta media por hogar;2017;28.109
25058 Borges Blanques, Les;;;Renta neta media por hogar;2016;27.037
25058 Borges Blanques, Les;;;Renta neta media por hogar;2015;26.026
25059 Bossòst;;;Renta neta media por hogar;2020;34.180
25059 Bossòst;;;Renta neta media por hogar;2019;36.276
25059 Bossòst;;;Renta neta media por hogar;2018;35.551
25059 Bossòst;;;Renta neta media por hogar;2017;33.999
25059 Bossòst;;;Renta neta media por hogar;2016;33.711
25059 Bossòst;;;Renta neta media por hogar;2015;32.064
25060 Cabanabona;;;Renta neta media por hogar;2020;35.146
25060 Cabanabona;;;Renta neta media por hogar;2019;.
25060 Cabanabona;;;Renta neta media por hogar;2018;.
25060 Cabanabona;;;Renta neta media por hogar;2017;.
25060 Cabanabona;;;Renta neta media por hogar;2016;.
25060 Cabanabona;;;Renta neta media por hogar;2015;.
25061 Cabó;;;Renta neta media por hogar;2020;35.146
25061 Cabó;;;Renta neta media por hogar;2019;.
25061 Cabó;;;Renta neta media por hogar;2018;.
25061 Cabó;;;Renta neta media por hogar;2017;.
25061 Cabó;;;Renta neta media por hogar;2016;.
25061 Cabó;;;Renta neta media por hogar;2015;.
25062 Camarasa;;;Renta neta media por hogar;2020;34.776
25062 Camarasa;;;Renta neta media por hogar;2019;34.103
25062 Camarasa;;;Renta neta media por hogar;2018;32.888
25062 Camarasa;;;Renta neta media por hogar;2017;30.727
25062 Camarasa;;;Renta neta media por hogar;2016;28.856
25062 Camarasa;;;Renta neta media por hogar;2015;28.627
25063 Canejan;;;Renta neta media por hogar;2020;35.146
25063 Canejan;;;Renta neta media por hogar;2019;.
25063 Canejan;;;Renta neta media por hogar;2018;30.668
25063 Canejan;;;Renta neta media por hogar;2017;.
25063 Canejan;;;Renta neta media por hogar;2016;.
25063 Canejan;;;Renta neta media por hogar;2015;.
25064 Castellar de la Ribera;;;Renta neta media por hogar;2020;42.646
25064 Castellar de la Ribera;;;Renta neta media por hogar;2019;41.689
25064 Castellar de la Ribera;;;Renta neta media por hogar;2018;38.343
25064 Castellar de la Ribera;;;Renta neta media por hogar;2017;31.621
25064 Castellar de la Ribera;;;Renta neta media por hogar;2016;33.644
25064 Castellar de la Ribera;;;Renta neta media por hogar;2015;33.407
25067 Castelldans;;;Renta neta media por hogar;2020;28.531
25067 Castelldans;;;Renta neta media por hogar;2019;28.619
25067 Castelldans;;;Renta neta media por hogar;2018;26.743
25067 Castelldans;;;Renta neta media por hogar;2017;26.016
25067 Castelldans;;;Renta neta media por hogar;2016;25.623
